collection,collection_name,title,id,sizes_and_prices,photo
thoughts,Some Thoughts,Birthday wish with Name & 3D Doll,birthday-wish-with-name-3d-doll,10 inch ring $200 | 12 inch ring $250,thoughts/birthday-wish-with-name-3d-doll.webp
thoughts,Some Thoughts,Birthday Hoop with Name & 3D Doll with some lines,birthday-hoop-with-name-3d-doll-with-some-lines,10 inch ring $200 | 12 inch ring $250,thoughts/birthday-hoop-with-name-3d-doll-with-some-lines.webp
thoughts,Some Thoughts,Customised background view with girls on swing and some lines,customised-background-view-with-girls-on-swing-and-some-lines,10 inch ring $230 | 12 inch ring $275,thoughts/customised-background-view-with-girls-on-swing-and-some-lines.webp
thoughts,Some Thoughts,Mother's Day Hoop,mothers-day-hoop,10 inch ring $250 | 12 inch ring $300,thoughts/mothers-day-hoop.webp
calendar,Calendar Wishes,Calendar With Star-Heart,calendar-with-star-heart,10 inch ring $120 | 12 inch ring $150,calendar/calendar-with-star-heart.webp
calendar,Calendar Wishes,Calendar With Florals only,calendar-with-florals-only,10 inch ring $150 | 12 inch ring $180,calendar/calendar-with-florals-only.webp
calendar,Calendar Wishes,Calendar With Florals only,calendar-with-florals-only-2,10 inch ring $150 | 12 inch ring $180,calendar/calendar-with-florals-only-2.webp
calendar,Calendar Wishes,"Birthday wish with clouds, Name & 3D Doll",birthday-wish-with-clouds-name-3d-doll,10 inch ring $175 | 12 inch ring $200,calendar/birthday-wish-with-clouds-name-3d-doll.webp
calendar,Calendar Wishes,Anniversary Hoop with Bold Names and florals,anniversary-hoop-with-bold-names-and-florals,10 inch ring $200 | 12 inch ring $230,calendar/anniversary-hoop-with-bold-names-and-florals.webp
calendar,Calendar Wishes,Friendship hoop with 3D girls on swing,friendship-hoop-with-3d-girls-on-swing,10 inch ring $200 | 12 inch ring $250,calendar/friendship-hoop-with-3d-girls-on-swing.webp
calendar,Calendar Wishes,Birthday hoop with couple on swing,birthday-hoop-with-couple-on-swing,10 inch ring $200 | 12 inch ring $250,calendar/birthday-hoop-with-couple-on-swing.webp
wedding,"Wedding, Anniversary & Engagement",Engagement Theme,engagement-theme,10 inch ring $200 | 12 inch ring $250,wedding/engagement-theme.webp
wedding,"Wedding, Anniversary & Engagement",Curtain Theme with 3D Couple,curtain-theme-with-3d-couple,10 inch ring $150 | 12 inch ring $175,wedding/curtain-theme-with-3d-couple.webp
wedding,"Wedding, Anniversary & Engagement",Names and Initials Theme With 3D Couple,names-and-initials-theme-with-3d-couple,10 inch ring $175 | 12 inch ring $200,wedding/names-and-initials-theme-with-3d-couple.webp
wedding,"Wedding, Anniversary & Engagement",Calendar Theme with 3D Couple,calendar-theme-with-3d-couple,10 inch ring $200 | 12 inch ring $250,wedding/calendar-theme-with-3d-couple.webp
wedding,"Wedding, Anniversary & Engagement",Calendar & Curtain Theme with 3D Couple,calendar-curtain-theme-with-3d-couple,12 inch ring $280,wedding/calendar-curtain-theme-with-3d-couple.webp
wedding,"Wedding, Anniversary & Engagement",Heart Floral Theme with Cartoon Couple,heart-floral-theme-with-cartoon-couple,10 inch ring $230 | 12 inch ring $280,wedding/heart-floral-theme-with-cartoon-couple.webp
wedding,"Wedding, Anniversary & Engagement",Heart Floral with 3D Couple,heart-floral-with-3d-couple,10 inch ring $250 | 12 inch ring $300,wedding/heart-floral-with-3d-couple.webp
wedding,"Wedding, Anniversary & Engagement",Mandap Theme with Cartoon Couple,mandap-theme-with-cartoon-couple,10 inch ring · cartoon couple $250 | 12 inch ring · cartoon couple $300 | 10 inch ring · 3D couple $280 | 12 inch ring · 3D couple $330,wedding/mandap-theme-with-cartoon-couple.webp
names,Names & Initials,Customised Initial on Handkerchief,customised-initial-on-handkerchief,12 × 12 inch $50,names/customised-initial-on-handkerchief.webp
names,Names & Initials,Single Name and Florals,single-name-and-florals,10 inch ring $120 | 12 inch ring $150,names/single-name-and-florals.webp
names,Names & Initials,Vertical Names and Florals,vertical-names-and-florals,10 inch ring $150 | 12 inch ring $180,names/vertical-names-and-florals.webp
names,Names & Initials,Horizontal Names and Florals,horizontal-names-and-florals,10 inch ring $150 | 12 inch ring $180,names/horizontal-names-and-florals.webp
names,Names & Initials,Heart Floral Theme,heart-floral-theme,10 inch ring $180 | 12 inch ring $200,names/heart-floral-theme.webp
names,Names & Initials,Anniversary Hoop with Bold Names and florals,anniversary-hoop-with-bold-names-and-florals,10 inch ring $200 | 12 inch ring $230,names/anniversary-hoop-with-bold-names-and-florals.webp
names,Names & Initials,French Knot filled-up Initials with Maple Leaf with some florals,french-knot-filled-up-initials-with-maple-leaf-with-some-florals,10 inch ring $250 | 12 inch ring $280,names/french-knot-filled-up-initials-with-maple-leaf-with-some-florals.webp
decor,Home Decor,Knot Stitched Swastik,knot-stitched-swastik,10 inch ring $350 | 12 inch ring $500,decor/knot-stitched-swastik.webp
decor,Home Decor,Radha Krishna,radha-krishna,10 inch ring $300 | 12 inch ring $450,decor/radha-krishna.webp
decor,Home Decor,Mahadev,mahadev,10 inch ring $300 | 12 inch ring $450,decor/mahadev.webp
